Time,BC,BC post,car_line1,car_line2,car_line1_stop,truck_line1,truck_line2,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:24:10,719,657,0.0,2.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:24:20,562,657,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:24:30,570,657,2.0,0.0,0.0,0.0,1.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:24:40,779,657,2.0,1.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:24:50,659,657,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:25:00,539,631,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:25:10,771,631,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:25:20,399,631,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:25:30,872,631,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:25:40,610,631,1.0,1.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:25:50,595,631,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:26:00,633,753,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:26:10,591,753,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:26:20,770,753,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
