start_time,end_time,person_line3,bicycle_line3,car_line3,car_line2,car_line2_stop,person_line3_stop,person_line1,car_line1,bus_line3,truck_line3,bus_line3_stop,motorcycle_line3,backpack_line1,train_line2,bus_line2,car_line1_stop,bus_line2_stop,backpack_line3,train_line2_stop,train_line3_stop,train_line3,bicycle_line3_stop,person_line2_stop,cell phone_line1,chair_line3,car_line3_stop,suitcase_line3,truck_line2,truck_line2_stop,person_line2,Time,history_temperature,history_wind_speed,history_humidity,BC,BC post,is_simulated
2024-11-04 18:55:00,2024-11-04 18:55:15,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:55:15,15.3,15.5,68,754.0,819.0,1
2024-11-04 18:55:15,2024-11-04 18:55:30,8.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:55:30,15.3,15.5,68,754.0,819.0,1
2024-11-04 18:55:30,2024-11-04 18:55:45,13.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:55:45,15.3,15.5,68,1026.1680578742348,819.0,1
2024-11-04 18:55:45,2024-11-04 18:56:00,18.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:56:00,15.3,15.5,68,754.0,819.0,1
2024-11-04 18:56:00,2024-11-04 18:56:15,9.0,0.0,9.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:56:15,15.3,15.5,68,962.7692307692307,1009.0,1
2024-11-04 18:56:15,2024-11-04 18:56:30,9.0,0.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:56:30,15.3,15.5,68,1043.0,1009.0,1
2024-11-04 18:56:30,2024-11-04 18:56:45,15.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:56:45,15.3,15.5,68,974.0,1009.0,1
2024-11-04 18:56:45,2024-11-04 18:57:00,15.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:57:00,15.3,15.5,68,974.0,1009.0,1
2024-11-04 18:57:00,2024-11-04 18:57:15,14.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:57:15,15.3,15.5,68,724.0,754.0,1
2024-11-04 18:57:15,2024-11-04 18:57:30,21.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-04 18:57:30,15.3,15.5,68,724.0,754.0,1
